Country Name,Population (total in hundred thousands),Population growth (annual %),Urban population growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),Renewable energy consumption (% of total final energy consumption),Terrestrial protected areas (% of total land area)
New Caledonia,3,2,2,15,100,5,54
New Zealand,46,1,1,7,100,31,33
Nicaragua,61,1,2,1,82,51,37
Niger,193,4,4,0,16,78,17
Nigeria,1767,3,5,1,54,87,14
North America,3539,1,1,17,100,10,11
North Macedonia,21,0,0,4,100,21,10
Norway,51,1,2,10,100,57,17
OECD members,12724,1,1,10,100,11,15
Oman,40,6,7,16,100,0,3
Other small states,284,2,3,7,71,28,29
Pacific island small states,23,1,2,1,75,32,4
Pakistan,1955,2,3,1,71,47,12
Palau,0,0,1,14,99,0,28
Panama,39,2,2,3,93,20,21
Papua New Guinea,80,2,2,1,38,54,3
Paraguay,66,1,2,1,99,63,12
Peru,303,1,1,2,92,28,21
Philippines,1004,2,2,1,89,29,15
Poland,380,0,0,8,100,11,40
Portugal,104,0,1,4,100,28,23
Post-demographic dividend,10922,0,1,11,100,11,15
Pre-demographic dividend,8234,3,4,1,39,75,15
Qatar,24,6,6,40,100,0,10
Romania,199,0,0,4,100,23,24
Russian Federation,1438,0,0,12,100,3,10
Rwanda,111,3,3,0,20,89,9
Samoa,2,1,-1,1,98,41,7
Sao Tome and Principe,2,2,3,1,65,42,29
Saudi Arabia,308,3,3,19,100,0,5
Senegal,142,3,4,1,59,46,25
Serbia,71,-1,0,6,100,20,6
Seychelles,1,1,2,5,99,1,42
Sierra Leone,70,2,3,0,17,78,9
Singapore,54,1,1,9,100,1,6
Sint Maarten (Dutch part),0,2,2,20,100,0,0
Slovak Republic,54,0,0,6,100,11,38
Slovenia,21,0,1,7,100,20,54
Small states,379,2,3,7,76,25,26
Solomon Islands,6,3,5,0,48,63,2
Somalia,135,3,5,0,27,94,1
South Africa,545,2,2,9,85,17,10
South Asia,17273,1,3,1,80,40,7
South Asia (IDA & IBRD),17273,1,3,1,80,40,7
South Sudan,104,2,3,0,14,32,16
Spain,466,0,0,5,100,16,28
Sri Lanka,209,1,1,1,91,59,30
St. Kitts and Nevis,1,1,1,5,100,1,3
St. Lucia,2,1,0,2,96,2,19
St. Vincent and the Grenadines,1,0,1,2,97,6,22
Sub-Saharan Africa,9709,3,4,1,39,71,18
Sub-Saharan Africa (IDA & IBRD countries),9709,3,4,1,39,71,18
Sub-Saharan Africa (excluding high income),9708,3,4,1,39,71,18
Sudan,381,2,3,0,45,62,2
Suriname,6,1,1,4,94,25,15
Sweden,97,1,1,5,100,49,15
Switzerland,82,1,1,5,100,23,10
Syrian Arab Republic,190,-3,-3,2,91,2,1
Tajikistan,83,2,3,0,99,54,22
Tanzania,501,3,5,0,22,87,38
Thailand,684,0,2,4,100,23,19
Timor-Leste,12,2,3,0,61,25,13
Togo,71,3,4,0,42,71,28
Tonga,1,0,0,1,95,1,16
Trinidad and Tobago,14,1,0,35,100,0,31
Tunisia,111,1,1,3,100,13,8
Turkey,773,2,2,4,100,13,0
Turkmenistan,55,2,2,12,100,0,3
Turks and Caicos Islands,0,2,2,6,99,1,44
Tuvalu,0,1,3,1,98,0,2
Uganda,372,3,6,0,18,91,16
Ukraine,453,0,0,6,100,3,4
United Arab Emirates,92,2,3,20,100,0,16
United Kingdom,646,1,1,7,100,6,29
United States,3184,1,1,17,100,8,13
Upper middle income,25777,1,2,6,99,13,15
Uruguay,34,0,0,2,100,52,3
Uzbekistan,308,2,2,4,100,3,3
Vanuatu,3,3,3,1,45,38,4
Venezuela,294,0,0,6,99,13,54
Vietnam,917,1,3,2,100,36,8
West Bank and Gaza,42,2,3,1,100,12,8
World,72569,1,2,5,86,18,15
Yemen,258,3,4,1,72,1,1
Zambia,154,3,4,0,30,89,38
Zimbabwe,136,2,1,1,38,80,27
